,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
2019-09-17,4.19,4.3881,4.15,4.29,OGI,947392,HISTORICAL_PRICES,OGI,,1606830572000,-0.46350832266325215,-0.46350832266325215,4.29,4.19,4.3881,4.15,947392,4.29,4.19,4.3881,4.15,947392,"Sep 17, 19",-0.14999999999999947,-0.0346
2019-09-18,4.22,4.3,4.15,4.18,OGI,643428,HISTORICAL_PRICES,OGI,,1606830572000,-0.45966709346991036,-0.45966709346991036,4.18,4.22,4.3,4.15,643428,4.18,4.22,4.3,4.15,643428,"Sep 18, 19",0.02999999999999936,0.0072
2019-09-19,4.16,4.3397,4.115,4.22,OGI,986587,HISTORICAL_PRICES,OGI,,1606830572000,-0.46734955185659405,-0.46734955185659405,4.22,4.16,4.3397,4.115,986587,4.22,4.16,4.3397,4.115,986587,"Sep 19, 19",-0.05999999999999961,-0.0142
2019-09-20,4.19,4.28,4.06,4.12,OGI,1194702,HISTORICAL_PRICES,OGI,,1606830572000,-0.46350832266325215,-0.46350832266325215,4.12,4.19,4.28,4.06,1194702,4.12,4.19,4.28,4.06,1194702,"Sep 20, 19",0.03000000000000025,0.0072
2019-09-23,4.18,4.25,4.13,4.15,OGI,844681,HISTORICAL_PRICES,OGI,,1606830572000,-0.4647887323943662,-0.4647887323943662,4.15,4.18,4.25,4.13,844681,4.15,4.18,4.25,4.13,844681,"Sep 23, 19",-0.010000000000000675,-0.0024
2019-09-24,3.92,4.35,3.9,4.25,OGI,1989170,HISTORICAL_PRICES,OGI,,1606830572000,-0.498079385403329,-0.498079385403329,4.25,3.92,4.35,3.9,1989170,4.25,3.92,4.35,3.9,1989170,"Sep 24, 19",-0.2599999999999998,-0.0622
2019-09-25,3.8,3.9,3.6,3.9,OGI,2253360,HISTORICAL_PRICES,OGI,,1606830572000,-0.5134443021766966,-0.5134443021766966,3.9,3.8,3.9,3.6,2253360,3.9,3.8,3.9,3.6,2253360,"Sep 25, 19",-0.1200000000000001,-0.0306
2019-09-26,3.69,3.8886,3.62,3.85,OGI,1440408,HISTORICAL_PRICES,OGI,,1606830572000,-0.52752880921895,-0.52752880921895,3.85,3.69,3.8886,3.62,1440408,3.85,3.69,3.8886,3.62,1440408,"Sep 26, 19",-0.10999999999999988,-0.0289
2019-09-27,3.67,3.7564,3.56,3.73,OGI,1473015,HISTORICAL_PRICES,OGI,,1606830572000,-0.5300896286811779,-0.5300896286811779,3.73,3.67,3.7564,3.56,1473015,3.73,3.67,3.7564,3.56,1473015,"Sep 27, 19",-0.020000000000000018,-0.0054
2019-09-30,3.44,3.7,3.41,3.7,OGI,1404157,HISTORICAL_PRICES,OGI,,1606830572000,-0.5595390524967989,-0.5595390524967989,3.7,3.44,3.7,3.41,1404157,3.7,3.44,3.7,3.41,1404157,"Sep 30, 19",-0.22999999999999998,-0.0627
2019-10-01,3.54,3.581,3.33,3.45,OGI,1197518,HISTORICAL_PRICES,OGI,,1606830572000,-0.5467349551856594,-0.5467349551856594,3.45,3.54,3.581,3.33,1197518,3.45,3.54,3.581,3.33,1197518,"Oct 1, 19",0.10000000000000009,0.0291
2019-10-02,3.58,3.75,3.2802,3.51,OGI,1507513,HISTORICAL_PRICES,OGI,,1606830572000,-0.5416133162612036,-0.5416133162612036,3.51,3.58,3.75,3.2802,1507513,3.51,3.58,3.75,3.2802,1507513,"Oct 2, 19",0.040000000000000036,0.0113
2019-10-03,3.56,3.6,3.36,3.59,OGI,2562946,HISTORICAL_PRICES,OGI,,1606830572000,-0.5441741357234315,-0.5441741357234315,3.59,3.56,3.6,3.36,2562946,3.59,3.56,3.6,3.36,2562946,"Oct 3, 19",-0.020000000000000018,-0.0056
2019-10-04,3.42,3.69,3.393,3.59,OGI,1677941,HISTORICAL_PRICES,OGI,,1606830572000,-0.5620998719590269,-0.5620998719590269,3.59,3.42,3.69,3.393,1677941,3.59,3.42,3.69,3.393,1677941,"Oct 4, 19",-0.14000000000000012,-0.0393
2019-10-07,3.22,3.39,3.2,3.35,OGI,1840706,HISTORICAL_PRICES,OGI,,1606830572000,-0.587708066581306,-0.587708066581306,3.35,3.22,3.39,3.2,1840706,3.35,3.22,3.39,3.2,1840706,"Oct 7, 19",-0.19999999999999973,-0.0585
2019-10-08,3.15,3.24,3.0929,3.19,OGI,1707644,HISTORICAL_PRICES,OGI,,1606830572000,-0.5966709346991038,-0.5966709346991038,3.19,3.15,3.24,3.0929,1707644,3.19,3.15,3.24,3.0929,1707644,"Oct 8, 19",-0.07000000000000028,-0.0217
